YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR
1990,1,1,13.61,68.62,0.77
1990,1,2,13.24,69.56,0.12
1990,1,3,12.39,66.81,0
1990,1,4,10.93,60.62,0
1990,1,5,10.31,60.88,0
1990,1,6,9.58,60.44,0
1990,1,7,10.07,60.38,0
1990,1,8,10.5,59.06,0
1990,1,9,9.89,54.56,0
1990,1,10,9.58,52.81,0
1990,1,11,5.62,33.56,0
1990,1,12,4.39,26.75,0
1990,1,13,5.19,31,0
1990,1,14,4.64,27.88,0
1990,1,15,4.21,25.25,0
1990,1,16,5.25,30.62,0
1990,1,17,6.84,41.62,0
1990,1,18,5.92,36.44,0
1990,1,19,4.03,23.69,0
1990,1,20,3.23,17.88,0
1990,1,21,4.58,24.56,0
1990,1,22,6.59,37.12,0
1990,1,23,9.4,53.56,0
1990,1,24,8.42,47.44,0
1990,1,25,6.47,34.12,0
1990,1,26,5.98,33.5,0
1990,1,27,8.79,52.19,0
1990,1,28,8.79,52.06,0
1990,1,29,9.16,52.81,0
1990,1,30,7.81,42.44,0
1990,1,31,6.77,35.06,0
1990,2,1,7.39,40.81,0
1990,2,2,8.79,47.88,0
1990,2,3,8.85,47.44,0
1990,2,4,7.39,40.25,0
1990,2,5,8.06,43.38,0
1990,2,6,10.01,53.19,0
1990,2,7,10.31,56.38,0
1990,2,8,9.89,54.38,0
1990,2,9,8.54,46.25,0
1990,2,10,11.66,60,0
1990,2,11,11.35,58.5,0
1990,2,12,11.17,56.62,0
1990,2,13,11.17,55.56,0
1990,2,14,11.54,56.19,0
1990,2,15,12.15,56.75,0
1990,2,16,13.79,61.12,0.07
1990,2,17,12.7,56.12,0.22
1990,2,18,10.56,48.12,0.13
1990,2,19,11.47,52,0.11
1990,2,20,9.28,42.38,1.8
1990,2,21,7.81,37.25,0.9
1990,2,22,10.44,49.75,0.05
1990,2,23,14.16,62.56,0
1990,2,24,14.16,61,4.9
1990,2,25,13.79,59.88,2.48
1990,2,26,10.19,48.38,0.06
1990,2,27,11.41,52.62,0.01
1990,2,28,12.94,56.62,0
1990,3,1,11.72,50.06,0
1990,3,2,13.43,55,0
1990,3,3,9.89,40.88,0
1990,3,4,8.12,33.75,0
1990,3,5,11.47,45.62,0
1990,3,6,14.65,57.88,0
1990,3,7,14.89,58.12,0.05
1990,3,8,14.1,55.62,0.15
1990,3,9,14.95,62.38,5.25
1990,3,10,15.75,68.62,3.3
1990,3,11,15.08,67.38,11.56
1990,3,12,15.32,67.19,2.41
1990,3,13,14.65,60.19,0.36
1990,3,14,12.94,53.25,0
1990,3,15,11.84,54.5,0
1990,3,16,12.94,58.5,0
1990,3,17,12.88,56.56,0
1990,3,18,12.57,55.25,0.09
1990,3,19,10.93,47.38,0.02
1990,3,20,9.7,40.38,0
1990,3,21,9.89,39.12,0
1990,3,22,10.74,43.38,0
1990,3,23,11.05,43.56,0
1990,3,24,9.46,37.62,0
1990,3,25,8.12,33.5,0
1990,3,26,9.22,38.81,0.31
1990,3,27,7.45,30.94,0.89
1990,3,28,9.83,36.19,0
1990,3,29,15.38,54.88,0
1990,3,30,13.61,47.94,0
1990,3,31,12.15,41.94,0
1990,4,1,12.7,44.62,0.1
1990,4,2,12.57,43,0.19
1990,4,3,12.02,42.25,0.02
1990,4,4,14.28,51.88,0
1990,4,5,15.69,56.69,0
1990,4,6,15.75,59.75,5.97
1990,4,7,15.38,61.12,2.32
1990,4,8,14.77,55.38,0.13
1990,4,9,13.79,49.44,0
1990,4,10,13.92,47.88,0
1990,4,11,14.1,48,0
1990,4,12,14.1,49.5,0
1990,4,13,13.49,45.19,0
1990,4,14,13,41.94,0
1990,4,15,12.94,43.12,0
1990,4,16,13.24,45.19,0.01
1990,4,17,13.61,47.06,0
1990,4,18,13.31,46.25,0
1990,4,19,11.11,35.31,0
1990,4,20,7.39,25.12,0
1990,4,21,5.31,17.06,0
1990,4,22,4.88,15.19,0
1990,4,23,7.81,25.62,0
1990,4,24,10.31,35.75,0
1990,4,25,12.21,42.88,0
1990,4,26,11.96,42.88,0
1990,4,27,12.02,43.62,0
1990,4,28,12.15,44.19,0
1990,4,29,13.79,48.25,0
1990,4,30,14.95,51.5,0.3
1990,5,1,14.28,48.56,0.56
1990,5,2,13.12,43.38,0.13
1990,5,3,12.39,40.56,0.11
1990,5,4,13.55,45.44,1.63
1990,5,5,16.36,61.31,11.56
1990,5,6,15.38,56.69,0.16
1990,5,7,16.54,62.31,1.12
1990,5,8,15.99,65.31,4.2
1990,5,9,17.46,77.56,9.84
1990,5,10,17.21,79.62,17.28
1990,5,11,17.46,69.81,4.85
1990,5,12,19.53,80.56,28.24
1990,5,13,18.98,76.38,26.81
1990,5,14,18.07,66.12,1.3
1990,5,15,17.15,57.19,0.24
1990,5,16,18.01,61.75,2.07
1990,5,17,17.82,73.12,0.89
1990,5,18,17.03,65.75,0.25
1990,5,19,17.58,59.62,1.3
1990,5,20,17.33,60.75,0.72
1990,5,21,18.19,67.19,19.86
1990,5,22,17.82,67.5,1.31
1990,5,23,18.07,65.44,7.19
1990,5,24,18.37,71.06,3.61
1990,5,25,17.27,65.75,0.41
1990,5,26,17.46,63.38,0
1990,5,27,16.66,56.94,2.34
1990,5,28,16.66,56.94,0
1990,5,29,17.58,63.44,1.92
1990,5,30,17.76,72.25,13.78
1990,5,31,17.03,66.44,1.98
1990,6,1,16.11,61.62,0.79
1990,6,2,15.26,57.62,0.24
1990,6,3,16.6,58.19,0.01
1990,6,4,18.13,67.56,2.76
1990,6,5,18.25,74.94,5.51
1990,6,6,17.82,73.38,0.69
1990,6,7,17.58,71.62,0.09
1990,6,8,17.21,74.62,2.42
1990,6,9,17.03,74.62,2.1
1990,6,10,17.52,74.69,0.71
1990,6,11,16.85,68.69,0.33
1990,6,12,17.33,69.94,10.25
1990,6,13,18.13,77.88,9.16
1990,6,14,18.13,78.12,4.44
1990,6,15,17.15,70.19,0.21
1990,6,16,17.46,70.94,1.38
1990,6,17,17.15,72.06,10.02
1990,6,18,17.15,72.25,0.33
1990,6,19,17.09,71.31,0.5
1990,6,20,16.97,71.12,14.96
1990,6,21,17.27,69.69,3.18
1990,6,22,17.03,72.81,0.27
1990,6,23,16.97,71.06,0.1
1990,6,24,16.85,67.56,1.99
1990,6,25,16.66,71.06,1.33
1990,6,26,16.36,65.56,0.77
1990,6,27,17.03,70.88,2.93
1990,6,28,16.54,66.81,0.7
1990,6,29,16.97,68.44,0.7
1990,6,30,16.85,68.94,2.6
1990,7,1,16.66,65.62,0.54
1990,7,2,16.36,67.69,1.75
1990,7,3,15.93,64.62,2.19
1990,7,4,15.5,59.94,0.29
1990,7,5,16.6,62.25,0.16
1990,7,6,16.72,65.31,0.01
1990,7,7,17.33,75.12,8.13
1990,7,8,16.66,72.31,10.16
1990,7,9,15.26,65.88,1.32
1990,7,10,15.01,65,0.08
1990,7,11,15.32,66.12,0.25
1990,7,12,15.14,70.06,3.57
1990,7,13,15.26,67.5,2.36
1990,7,14,16.24,69.69,1.94
1990,7,15,16.05,69.75,10.59
1990,7,16,16.72,72.38,10.31
1990,7,17,16.78,73,4.28
1990,7,18,16.6,72.62,1.8
1990,7,19,16.24,67.44,0.42
1990,7,20,16.11,71.12,0.75
1990,7,21,16.05,70.19,3.98
1990,7,22,16.6,72.12,4.55
1990,7,23,16.91,76.44,14.33
1990,7,24,16.3,71.81,2.67
1990,7,25,16.3,68.25,2.69
1990,7,26,16.11,65.38,0.25
1990,7,27,15.81,62.44,0.02
1990,7,28,15.81,66.19,0
1990,7,29,15.62,63.69,0.16
1990,7,30,15.93,61.69,0.03
1990,7,31,16.6,67.12,0.59
